City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,ola,59.5833,151.2833,8.68,87,100,0.61,RU,1718672065
1,adamstown,-25.066,-130.1015,22.62,83,100,6.4,PN,1718672066
2,lihue,21.9789,-159.3672,30.58,69,75,6.17,US,1718672066
3,margaret river,-33.95,115.0667,15.2,73,98,7.76,AU,1718672066
4,colonia,50.9333,6.95,16.09,90,0,1.03,DE,1718672066
5,stanley,54.868,-1.6985,10.03,96,20,1.54,GB,1718672066
6,gizo,-8.103,156.8419,27.65,84,44,5.45,SB,1718672066
7,markovo,57.3206,107.0881,17.8,41,3,4.31,RU,1718672066
8,antofagasta,-23.65,-70.4,15.6,86,98,2.33,CL,1718672067
9,grytviken,-54.2811,-36.5092,-4.7,80,29,4.9,GS,1718672067
10,heunghae,36.1125,129.3522,27.89,41,0,2.01,KR,1718672067
11,bilibino,68.0546,166.4372,22.28,31,94,2.02,RU,1718672067
12,college,64.8569,-147.8028,27.99,25,40,4.12,US,1718672067
13,leer,53.2316,7.461,11.64,95,100,1.12,DE,1718672067
14,port-aux-francais,-49.35,70.2167,3.34,69,81,11.42,TF,1718672068
15,ilulissat,69.2167,-51.1,11.01,71,75,4.63,GL,1718672068
16,santa cruz,-17.8,-63.1667,23.7,88,40,6.69,BO,1718671962
17,udachny,66.4167,112.4,10.66,46,98,1.26,RU,1718672068
18,waitangi,-43.9535,-176.5597,10.46,93,100,5.36,NZ,1718672068
19,at-bashi,41.1702,75.8106,13.48,75,100,0.61,KG,1718672068
20,port mathurin,-19.6833,63.4167,23.37,83,23,1.35,MU,1718672069
21,aasiaat,68.7098,-52.8699,3.46,89,100,12.76,GL,1718672069
22,qaqortoq,60.7167,-46.0333,1.9,98,100,0.88,GL,1718672069
23,yemel'yanovo,56.1681,92.6767,16.45,100,75,2.0,RU,1718672069
24,west island,-12.1568,96.8225,24.99,94,100,5.14,CC,1718672069
25,papatowai,-46.5619,169.4708,7.91,75,52,6.65,NZ,1718672069
26,billund,55.7335,9.1078,13.78,94,75,2.57,DK,1718672070
27,badger,64.8,-147.5333,27.95,24,75,4.12,US,1718671863
28,tolanaro,-25.0319,46.9987,18.04,88,20,2.06,MG,1718672070
29,ust-nera,64.5667,143.2,20.78,37,100,1.71,RU,1718672070
30,puerto natales,-51.7236,-72.4875,-4.18,94,80,1.04,CL,1718671900
31,vilyuchinsk,52.9306,158.4028,13.15,80,100,2.52,RU,1718672070
32,conduaga,8.862,117.4893,30.35,65,12,0.69,PH,1718672070
33,atafu village,-8.5421,-172.5159,29.38,75,11,7.54,TK,1718672071
34,albany,42.6001,-73.9662,27.36,70,3,0.89,US,1718671870
35,vorgashor,67.5833,63.95,1.24,74,33,4.82,RU,1718672071
36,plastun,44.7561,136.2939,19.62,48,1,3.8,RU,1718672071
37,vila do maio,15.1333,-23.2167,24.44,85,100,7.36,CV,1718672071
38,mount isa,-20.7333,139.5,19.87,37,74,3.6,AU,1718672071
